day	hour	qqq	value
8	18	Bryan Ruiz;Dimitris Salpingidis;Emir Spahi?;Graham Zusi	40
8	19		0
8	20	Yuri Zhirkov	10
8	21		0
8	22	Mitchell Langerak	10
8	23	Glen Johnson	10
8	24	Maya Yoshida	10
8	25	Ricardo Rodriguez	10
8	26	Vangelis Moras	10
8	27	Maxwell;Nikica Jelavi?;Sulley Muntari	30
8	28	Cedric Djeugoue;Cesar Azpilicueta;Isaac Brizuela;Ismael Diomande;Masahiko Inoha;Thiago Motta	60
8	29	Gonzalo Jara;Vincent Enyeama	20
8	30	Mehdi Mostefa	10
8	31	David Ospina;Pepe Reina	20
9	1	Daniel Sturridge;Jefferson Montero;Paul Verhaegh	30
9	2	Gelson Fernandes;Javi Martinez;Rafik Halliche	30
9	3	Jerome Boateng;Julio Cesar	20
9	4	Raul Albiol;Oscar Boniek Garcia	20
9	5	Felipe Caicedo	10
9	6	Amir Hossein Sadeghi;Joseph Yobo;Pejman Montazeri	30
9	7		0
9	8	Adrian Bone;Bernard;Carlos Bacca;Diego Benaglio;Joao Moutinho	50
9	9	Alex Song;Brad Guzan;Luka Modri?;Oscar	40
9	10	Andre Almeida;Ivan Franjic;Laurent Koscielny;Muhamed Be?i?	40
9	11	Jordan Ayew	10
9	12	Junior Diaz;Kim Chang-soo;Yuto Nagatomo	30
9	13	Jonathan de Guzman;Luis Lopez;Thomas Muller	30
9	14	Ivica Oli?;Juwon Oshaniwa;Khosro Heydari	30
9	15		0
9	16	Hossein Mahini	10
9	17	Uche Nwofor	10
9	18	Alfredo Talavera	10
9	19	Diego Reyes;Eduardo;Majeed Waris;Sergey Ryzhikov	40
9	20	Julian Draxler;Reza Ghoochannejhad;Waylon Francis	30
9	21	Ante Rebi?	10
9	22	Thiago Silva	10
9	23	Bakhtiar Rahmani	10
9	24		0
9	25	Massimo Luongo;Reuben Gabriel	20
9	26	Senijad Ibri?i?	10
9	27	Granit Xhaka;Stephane Ruffier	20
9	28	Andres Guardado;Jorge Guagua;Mathieu Valbuena;Stephen Adams	40
9	29	Per Mertesacker	10
9	30	Cristian Rodriguez;Cristian Zapata;Kim Seung-gyu;Olivier Giroud	40
