day	hour	qqq	value
10	7	Diego Costa (Spain), Javad Nekounam (Iran), Madjid Bougherra (Algeria), Sebastian Coates (Uruguay)	8
10	8	Felipe Gutierrez (Chile), Sejad Salihovi? (Bosnia and Herzegovina)	4
10	9	Djamel Mesbah (Algeria)	2
10	10	Ahmad Alenemeh (Iran), Ezequiel Garay (Argentina), Xherdan Shaqiri (Switzerland)	6
10	11	Jean-Daniel Akpa-Akpro (Ivory Coast), Omar Gonzalez (United States)	4
10	12	Christian Stuani (Uruguay), Giannis Maniatis (Greece), Shola Ameobi (Nigeria)	6
10	13	none	0
10	14	Ahmed Musa (Nigeria), Henrique (Brazil)	4
10	15	Mesut Ozil (Germany)	2
10	16	Marcelo Brozovi? (Croatia), Rony Martinez (Honduras)	4
10	17	Constant Djakpa (Ivory Coast), Kenneth Omeruo (Nigeria)	4
10	18	Daniel Opare (Ghana), Dante (Brazil), Efe Ambrose (Nigeria)	6
10	19	none	0
10	20	Francisco Javier Rodriguez (Mexico), Luis Saritama (Ecuador), Mattia De Sciglio (Italy)	6
10	21	none	0
10	22	Aissa Mandi (Algeria)	2
10	23	none	0
10	24	Anthony Vanden Borre (Belgium), Cristian Gamboa (Costa Rica), Ognjen Vranje? (Bosnia and Herzegovina), Wayne Rooney (England)	8
10	25	Esteban Granados (Costa Rica), Roger Espinoza (Honduras)	4
10	26	Juan Pablo Montes (Honduras)	2
10	27	Danijel Suba?i? (Croatia)	2
10	28	none	0
10	29	Sylvain Gbohouo (Ivory Coast), Alvaro Gonzalez (Uruguay)	4
10	30	none	0
10	31	none	0
11	1	Jerry Palacios (Honduras)	2
11	2	Charles Itandje (Cameroon), Diego Lugano (Uruguay), Pablo Armero (Colombia)	6
11	3	Jermaine Jones (United States), Marvin Chavez (Honduras)	4
11	4	none	0
11	5	Luis Garrido (Honduras), Marco Verratti (Italy)	4
11	6	Andre Schurrle (Germany), Jozy Altidore (United States)	4
11	7	David de Gea (Spain), Serey Die (Ivory Coast)	4
11	8	Brad Davis (United States), Morgan Schneiderlin (France)	4
11	9	none	0
11	10	Aron Johannsson (United States), Mattia Perin (Italy)	4
11	11	Georginio Wijnaldum (Netherlands), Philipp Lahm (Germany)	4
11	12	Benjamin Moukandjo (Cameroon), Hiroshi Kiyotake (Japan), Ignazio Abate (Italy)	6
11	13	Nigel de Jong (Netherlands)	2
11	14	Mathis Bolly (Ivory Coast), Roman Burki (Switzerland), Thomas Vermaelen (Belgium)	6
11	15	none	0
11	16	Aleksei Kozlov (Russia)	2
11	17	Nani (Portugal)	2
11	18	none	0
11	19	Jorge Fucile (Uruguay)	2
11	20	Edder Delgado (Honduras), Eduardo Vargas (Chile)	4
11	21	none	0
11	22	Asamoah Gyan (Ghana), Chris Smalling (England), Marouane Fellaini (Belgium)	6
11	23	none	0
11	24	Jeremain Lens (Netherlands), Mario Gavranovi? (Switzerland), Nabil Bentaleb (Algeria), Roy Miller (Costa Rica)	8
11	25	El Arbi Hillel Soudani (Algeria), Xabi Alonso (Spain)	4
